Price,Year,Make,Model,Description,Url
"$34,995",1962,Chevrolet,Impala,"Description coming soon, call for details!",streetsideclassics.com/vehicles/7551-cha/1962-chevrolet-impala
"$69,995",1962,Chevrolet,Impala,"PERIOD CORRECT 409 V8, 4 SPEED MANUAL, FACTORY CORRECT COLORS, 57K ACTUAL MILES!",streetsideclassics.com/vehicles/3368-tpa/1962-chevrolet-impala-convertible
"$36,995",1962,Chrysler,300,"COOL CHRYSLER 300, STRONG 383 V8, AUTO TRANS, PWR STEER/FRNT DISC, DUAL EXHAUST!",streetsideclassics.com/vehicles/6416-atl/1962-chrysler-300
"$71,995",1962,Dodge,Polara,"BIG BLOCK 440CI WITH 6-PACK SETUP, SLICK BLACK PAINT, GREAT COLOR COMBO, MOPAR!",streetsideclassics.com/vehicles/3092-nsh/1962-dodge-polara-500-convertible
"$25,995",1962,Ford,F-100,"390CI V8, 3SPD AUTO, POWER STEERING/BRAKES, NICE 2-TONE PAINT, CUSTOM INTERIOR!!",streetsideclassics.com/vehicles/7344-cha/1962-ford-f-100-unibody
"$54,995",1962,Ford,F-100,"MODULAR 4.6L V8, 4SPD AUTO, A/C, POWER STEERING/BRAKES, RUNS/DRIVES WELL, CLEAN!",streetsideclassics.com/vehicles/7405-cha/1962-ford-f-100-unibody-restomod
"$42,995",1962,Ford,Galaxie,"X CODE 352 V8, AUTOMATIC, POWER STEERING AND BRAKES, FACTORY RANGOON RED/RED!",streetsideclassics.com/vehicles/3573-tpa/1962-ford-galaxie-500-convertible
"$22,995",1962,Ford,M151,"141 CID INLINE-4, 4-SPEED, EXCLLENT MILITARY JEEP, INDEPENDENT SUSPENSION, CLEAN",streetsideclassics.com/vehicles/2521-phx/1962-ford-m151-4x4
"$33,995",1962,Ford,Thunderbird,"CLEAN Z-CODE T-BIRD, 390 V8, 3-SPEED AUTO, PWR BRAKES/STEER, RECENT MAINT RCPTS!",streetsideclassics.com/vehicles/2667-phx/1962-ford-thunderbird
"$37,995",1962,Ford,Thunderbird,"390 V8, SOUNDS GR8, 3SPD AUTO, POWER STEERING & BRAKES, RUNS/DRIVES WELL, SHARP!",streetsideclassics.com/vehicles/7456-cha/1962-ford-thunderbird-sports-roadster
"$83,995",1962,Lincoln,Continental,"DESIRABLE MODEL, 430CI V8, 3SPD AUTO, PWR STEER/BRAKES, RUNS/DRIVES WELL, SLICK!",streetsideclassics.com/vehicles/6869-cha/1962-lincoln-continental-convertible
